common_name,scientific_name
Acacia Pied Barbet,Tricholaema leucomelas
African Barred Owlet,Glaucidium capense
African Black Duck,Anas sparsa
African Black Swift,Apus barbatus
African Broadbill,Smithornis capensis
African Crake,Crecopsis egregia
African Cuckoo,Cuculus gularis
African Cuckoo Hawk,Aviceda cuculoides
African Darter,Anhinga rufa
African Dusky Flycatcher,Muscicapa adusta
African Emerald Cuckoo,Chrysococcyx cupreus
African Finfoot,Podica senegalensis
African Firefinch,Lagonosticta rubricata
African Fish Eagle,Haliaeetus vocifer
African Golden Oriole,Oriolus auratus
African Goshawk,Accipiter tachiro
African Grass Owl,Tyto capensis
African Green Pigeon,Treron calvus
African Grey Hornbill,Lophoceros nasutus
African Harrier- Hawk,Polyboroides typus
African Hawk Eagle,Aquila spilogaster
African Hobby,Falco cuvierii
African Hoopoe,Upupa africana
African Jacana,Actophilornis africanus
African Marsh Harrier,Circus ranivorus
African Mourning Dove,Streptopelia decipiens
African Olive Pigeon,Columba arquatrix
African Openbill,Anastomus lamelligerus
African Oystercatcher,Haematopus moquini
African Palm Swift,Cypsiurus parvus
African Paradise Flycatcher,Terpsiphone viridis
African Penguin,Spheniscus demersus
African Pied Wagtail,Motacilla aguimp
African Pipit,Anthus cinnamomeus
African Pitta,Pitta angolensis
African Pygmy Goose,Nettapus auritus
African Pygmy Kingfisher,Ispidina picta
African Rail,Rallus caerulescens
African Red-eyed Bulbul,Pycnonotus nigricans
African Rock Pipit,Anthus crenatus
African Sacred Ibis,Threskiornis aethiopicus
African Scops Owl,Otus senegalensis
African Skimmer,Rynchops flavirostris
African Snipe,Gallinago nigripennis
African Spoonbill,Platalea alba
African Spotted Creeper,Salpornis salvadori
African Stonechat,Saxicola torquatus
African Swamphen,Porphyrio madagascariensis
African Wattled Lapwing,Vanellus senegallus
African Wood Owl,Strix woodfordii
African Woolly-necked Stork,Ciconia microscelis
Agulhas Long-billed Lark,Certhilauda brevirostris
Allen's Gallinule,Porphyrio alleni
Alpine Swift,Tachymarptis melba
American Golden Plover,Pluvialis dominica
American Purple Gallinule,Porphyrio martinica
Amethyst Sunbird,Chalcomitra amethystina
Amsterdam Albatross,Diomedea amsterdamensis
Amur Falcon,Falco amurensis
Ant-eating Chat,Myrmecocichla formicivora
Antarctic Petrel,Thalassoica antarctica
Antarctic Prion,Pachyptila desolata
Antarctic Tern,Sterna vittata
Arctic Tern,Sterna paradisaea
Arnot's Chat,Myrmecocichla arnotti
Arrow-marked Babbler,Turdoides jardineii
Ashy Flycatcher,Muscicapa caerulescens
Ashy Tit,Melaniparus cinerascens
Asian Dowitcher,Limnodromus semipalmatus
Atlantic Petrel,Pterodroma incerta
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos
Australasian Gannet,Morus serrator
Ayres's Hawk Eagle,Hieraaetus ayresii
Baillon's Crake,Zapornia pusilla
Baird's Sandpiper,Calidris bairdii
Banded Martin,Neophedina cincta
Bank Cormorant,Phalacrocorax neglectus
Bar-tailed Godwit,Limosa lapponica
Bar-throated Apalis,Apalis thoracica
Barau's Petrel,Pterodroma baraui
Barlow's Lark,Calendulauda barlowi
Barn Swallow,Hirundo rustica
Barratt's Warbler,Bradypterus barratti
Barred Long-tailed Cuckoo,Cercococcyx montanus
Barred Wren- Warbler,Calamonastes fasciolatus
Basra Reed Warbler,Acrocephalus griseldis
Bat Hawk,Macheiramphus alcinus
Bateleur,Terathopius ecaudatus
Bearded Scrub Robin,Cercotrichas quadrivirgata
Bearded Vulture,Gypaetus barbatus
Bearded Woodpecker,Chloropicus namaquus
Bennett's Woodpecker,Campethera bennettii
Black Coucal,Centropus grillii
Black Crake,Zapornia flavirostra
Black Cuckoo,Cuculus clamosus
Black Cuckooshrike,Campephaga flava
Black Harrier,Circus maurus
Black Heron,Egretta ardesiaca
Black Kite,Milvus migrans
Black Saw-wing,Psalidoprocne pristoptera
Black Skimmer,Rynchops niger
Black Sparrowhawk,Accipiter melanoleucus
Black Stork,Ciconia nigra
Black Tern,Chlidonias niger
Black-and-white Flycatcher,Bias musicus
Black-backed Puffback,Dryoscopus cubla
Black-bellied Bustard,Lissotis melanogaster
Black-bellied Starling,Notopholia corusca
Black-bellied Storm Petrel,Fregetta tropica
Black-browed Albatross,Thalassarche melanophris
Black-chested Prinia,Prinia flavicans
Black-chested Snake Eagle,Circaetus pectoralis
Black-collared Barbet,Lybius torquatus
Black-crowned Night Heron,Nycticorax nycticorax
Black-crowned Tchagra,Tchagra senegalus
Black-eared Sparrow- Lark,Eremopterix australis
Black-faced Waxbill,Brunhilda erythronotos
Black-fronted Bushshrike,Chlorophoneus nigrifrons
Black-headed Canary,Serinus alario
Black-headed Gull,Chroicocephalus ridibundus
Black-headed Heron,Ardea melanocephala
Black-headed Oriole,Oriolus larvatus
Black-legged Kittiwake,Rissa tridactyla
Black-naped Tern,Sterna sumatrana
Black-necked Grebe,Podiceps nigricollis
Black-rumped Buttonquail,Turnix nanus
Black-tailed Godwit,Limosa limosa
Black-throated Canary,Crithagra atrogularis
Black-throated Wattle-eye,Platysteira peltata
Black-winged Kite,Elanus caeruleus
Black-winged Lapwing,Vanellus melanopterus
Black-winged Pratincole,Glareola nordmanni
Black-winged Stilt,Himantopus himantopus
Blacksmith Lapwing,Vanellus armatus
Blue Crane,Grus paradisea
Blue Korhaan,Eupodotis caerulescens
Blue Petrel,Halobaena caerulea
Blue Quail,Synoicus adansonii
Blue Swallow,Hirundo atrocaerulea
Blue Waxbill,Uraeginthus angolensis
Blue-billed Teal,Spatula hottentota
Blue-cheeked Bee-eater,Merops persicus
Blue-mantled Crested Flycatcher,Trochocercus cyanomelas
Blue-spotted Wood Dove,Turtur afer
Bokmakierie,Telophorus zeylonus
Booted Eagle,Hieraaetus pennatus
Botha's Lark,Spizocorys fringillaris
Boulder Chat,Pinarornis plumosus
Bradfield's Swift,Apus bradfieldi
Bridled Tern,Onychoprion anaethetus
Brimstone Canary,Crithagra sulphurata
Broad-billed Prion,Pachyptila vittata
Broad-billed Roller,Eurystomus glaucurus
Broad-billed Sandpiper,Calidris falcinellus
Broad-tailed Paradise Whydah,Vidua obtusa
Broad-tailed Warbler,Schoenicola brevirostris
Bronze Mannikin,Spermestes cucullata
Bronze-winged Courser,Rhinoptilus chalcopterus
Brown Booby,Sula leucogaster
Brown Noddy,Anous stolidus
Brown Scrub Robin,Cercotrichas signata
Brown Snake Eagle,Circaetus cinereus
Brown-backed Honeybird,Prodotiscus regulus
Brown-crowned Tchagra,Tchagra australis
Brown-headed Parrot,Poicephalus cryptoxanthus
Brown-hooded Kingfisher,Halcyon albiventris
Brown-throated Martin,Riparia paludicola
Brubru,Nilaus afer
Buff-breasted Sandpiper,Calidris subruficollis
Buff-spotted Flufftail,Sarothrura elegans
Buff-streaked Chat,Campicoloides bifasciatus
Buffy Pipit,Anthus vaalensis
Buller's Albatross,Thalassarche bulleri
Burchell's Coucal,Centropus burchellii
Burchell's Courser,Cursorius rufus
Burchell's Sandgrouse,Pterocles burchelli
Burchell's Starling,Lamprotornis australis
Burnt-necked Eremomela,Eremomela usticollis
Bush Blackcap,Sylvia nigricapillus
Bushveld Pipit,Anthus caffer
Böhm's Spinetail,Neafrapus boehmi
Cape Batis,Batis capensis
Cape Bulbul,Pycnonotus capensis
Cape Bunting,Emberiza capensis
Cape Canary,Serinus canicollis
Cape Clapper Lark,Mirafra apiata
Cape Cormorant,Phalacrocorax capensis
Cape Crow,Corvus capensis
Cape Eagle- Owl,Bubo capensis
Cape Gannet,Morus capensis
Cape Glossy Starling,Lamprotornis nitens
Cape Grassbird,Sphenoeacus afer
Cape Long-billed Lark,Certhilauda curvirostris
Cape Longclaw,Macronyx capensis
Cape Parrot,Poicephalus robustus
Cape Penduline-tit,Anthoscopus minutus
Cape Robin-chat,Cossypha caffra
Cape Rock Thrush,Monticola rupestris
Cape Rockjumper,Chaetops frenatus
Cape Shoveler,Spatula smithii
Cape Siskin,Crithagra totta
Cape Sparrow,Passer melanurus
Cape Spurfowl,Pternistis capensis
Cape Sugarbird,Promerops cafer
Cape Teal,Anas capensis
Cape Turtle Dove,Streptopelia capicola
Cape Vulture,Gyps coprotheres
Cape Wagtail,Motacilla capensis
Cape Weaver,Ploceus capensis
Cape White-eye,Zosterops virens
Capped Wheatear,Oenanthe pileata
Cardinal Woodpecker,Dendropicos fuscescens
Caspian Plover,Charadrius asiaticus
Caspian Tern,Hydroprogne caspia
Chat Flycatcher,Melaenornis infuscatus
Chatham Albatross,Thalassarche eremita
Chestnut Weaver,Ploceus rubiginosus
Chestnut-backed Sparrow- Lark,Eremopterix leucotis
Chestnut-banded Plover,Charadrius pallidus
Chestnut-fronted Helmet-shrike,Prionops scopifrons
Chestnut-vented Tit-babbler,Curruca subcoerulea
Chinspot Batis,Batis molitor
Chorister Robin-chat,Cossypha dichroa
Christmas Frigatebird,Fregata andrewsi
Chukar Partridge,Alectoris chukar
Cinnamon-breasted Bunting,Emberiza tahapisi
Cinnamon-breasted Warbler,Euryptila subcinnamomea
Citrine Wagtail,Motacilla citreola
Cloud Cisticola,Cisticola textrix
Collared Flycatcher,Ficedula albicollis
Collared Palm Thrush,Cichladusa arquata
Collared Pratincole,Glareola pratincola
Collared Sunbird,Hedydipna collaris
Common Buttonquail,Turnix sylvaticus
Common Buzzard,Buteo buteo
Common Cuckoo,Cuculus canorus
Common Greenshank,Tringa nebularia
Common Moorhen,Gallinula chloropus
Common Myna,Acridotheres tristis
Common Ostrich,Struthio camelus
Common Quail,Coturnix coturnix
Common Redshank,Tringa totanus
Common Redstart,Phoenicurus phoenicurus
Common Reed Warbler,Acrocephalus scirpaceus
Common Ringed Plover,Charadrius hiaticula
Common Sandpiper,Actitis hypoleucos
Common Scimitarbill,Rhinopomastus cyanomelas
Common Starling,Sturnus vulgaris
Common Swift,Apus apus
Common Tern,Sterna hirundo
Common Waxbill,Estrilda astrild
Common Whitethroat,Curruca communis
Coqui Francolin,Campocolinus coqui
Corn Crake,Crex crex
Cory's Shearwater,Calonectris borealis
Crab- Plover,Dromas ardeola
Crested Barbet,Trachyphonus vaillantii
Crested Francolin,Ortygornis sephaena
Crested Guineafowl,Guttera pucherani
Crested Honey Buzzard,Pernis ptilorhynchus
Crimson-breasted Shrike,Laniarius atrococcineus
Croaking Cisticola,Cisticola natalensis
Crowned Cormorant,Microcarbo coronatus
Crowned Eagle,Stephanoaetus coronatus
Crowned Hornbill,Lophoceros alboterminatus
Crowned Lapwing,Vanellus coronatus
Cuckoo Finch,Anomalospiza imberbis
Curlew Sandpiper,Calidris ferruginea
Cut-throat Finch,Amadina fasciata
Damara Tern,Sternula balaenarum
Dark Chanting Goshawk,Melierax metabates
Dark-backed Weaver,Ploceus bicolor
Dark-capped Bulbul,Pycnonotus tricolor
Dark-capped Yellow Warbler,Iduna natalensis
Denham's Bustard,Neotis denhami
Desert Cisticola,Cisticola aridulus
Dickinson's Kestrel,Falco dickinsoni
Diederik Cuckoo,Chrysococcyx caprius
Double-banded Courser,Rhinoptilus africanus
Double-banded Sandgrouse,Pterocles bicinctus
Drakensberg Prinia,Prinia hypoxantha
Drakensberg Rockjumper,Chaetops aurantius
Drakensberg Siskin,Crithagra symonsi
Dunlin,Calidris alpina
Dusky Indigobird,Vidua funerea
Dusky Lark,Pinarocorys nigricans
Dusky Sunbird,Cinnyris fuscus
Dwarf Bittern,Ixobrychus sturmii
Eastern Bronze-naped Pigeon,Columba delegorguei
Eastern Clapper Lark,Mirafra fasciolata
Eastern Long-billed Lark,Certhilauda semitorquata
Eastern Nicator,Nicator gularis
Egyptian Goose,Alopochen aegyptiaca
Egyptian Vulture,Neophron percnopterus
Elegant Tern,Thalasseus elegans
Eleonora's Falcon,Falco eleonorae
Emerald-spotted Wood Dove,Turtur chalcospilos
Eurasian Bittern,Botaurus stellaris
Eurasian Blackcap,Sylvia atricapilla
Eurasian Chaffinch,Fringilla coelebs
Eurasian Curlew,Numenius arquata
Eurasian Golden Oriole,Oriolus oriolus
Eurasian Hobby,Falco subbuteo
Eurasian Oystercatcher,Haematopus ostralegus
Eurasian Scops Owl,Otus scops
Eurasian Whimbrel,Numenius phaeopus
European Bee-eater,Merops apiaster
European Honey Buzzard,Pernis apivorus
European Nightjar,Caprimulgus europaeus
European Pied Flycatcher,Ficedula hypoleuca
European Roller,Coracias garrulus
European Storm Petrel,Hydrobates pelagicus
European Turtle Dove,Streptopelia turtur
Fairy Flycatcher,Stenostira scita
Fairy Prion,Pachyptila turtur
Familiar Chat,Oenanthe familiaris
Fan-tailed Widowbird,Euplectes axillaris
Fawn-coloured Lark,Calendulauda africanoides
Fiery-necked Nightjar,Caprimulgus pectoralis
Fiscal Flycatcher,Melaenornis silens
Flappet Lark,Mirafra rufocinnamomea
Flesh-footed Shearwater,Ardenna carneipes
Forest Buzzard,Buteo trizonatus
Forest Canary,Crithagra scotops
Fork-tailed Drongo,Dicrurus adsimilis
Franklin's Gull,Leucophaeus pipixcan
Freckled Nightjar,Caprimulgus tristigma
Fulvous Whistling Duck,Dendrocygna bicolor
Fynbos Buttonquail,Turnix hottentottus
Gabar Goshawk,Micronisus gabar
Garden Warbler,Sylvia borin
Garganey,Spatula querquedula
Giant Kingfisher,Megaceryle maxima
Glossy Ibis,Plegadis falcinellus
Golden Pipit,Tmetothylacus tenellus
Golden-breasted Bunting,Emberiza flaviventris
Golden-tailed Woodpecker,Campethera abingoni
Goliath Heron,Ardea goliath
Gorgeous Bushshrike,Telophorus viridis
Great Crested Grebe,Podiceps cristatus
Great Egret,Ardea alba
Great Frigatebird,Fregata minor
Great Knot,Calidris tenuirostris
Great Reed Warbler,Acrocephalus arundinaceus
Great Shearwater,Ardenna gravis
Great Snipe,Gallinago media
Great Sparrow,Passer motitensis
Great Spotted Cuckoo,Clamator glandarius
Great White Pelican,Pelecanus onocrotalus
Great-winged Petrel,Pterodroma macroptera
Greater Blue-eared Starling,Lamprotornis chalybaeus
Greater Double-collared Sunbird,Cinnyris afer
Greater Flamingo,Phoenicopterus roseus
Greater Honeyguide,Indicator indicator
Greater Kestrel,Falco rupicoloides
Greater Painted-snipe,Rostratula benghalensis
Greater Sand Plover,Charadrius leschenaultii
Greater Striped Swallow,Cecropis cucullata
Green Barbet,Stactolaema olivacea
Green Malkoha,Ceuthmochares australis
Green Sandpiper,Tringa ochropus
Green Twinspot,Mandingoa nitidula
Green Woodhoopoe,Phoeniculus purpureus
Green-backed Camaroptera,Camaroptera brachyura
Green-backed Heron,Butorides striata
Green-capped Eremomela,Eremomela scotops
Green-winged Pytilia,Pytilia melba
Grey Crowned Crane,Balearica regulorum
Grey Cuckooshrike,Ceblepyris caesius
Grey Go-away-bird,Crinifer concolor
Grey Heron,Ardea cinerea
Grey Penduline-tit,Anthoscopus caroli
Grey Petrel,Procellaria cinerea
Grey Plover,Pluvialis squatarola
Grey Sunbird,Cyanomitra veroxii
Grey Tit,Melaniparus afer
Grey Tit- Flycatcher,Myioparus plumbeus
Grey Wagtail,Motacilla cinerea
Grey Waxbill,Glaucestrilda perreini
Grey-backed Camaroptera,Camaroptera brevicaudata
Grey-backed Cisticola,Cisticola subruficapilla
Grey-backed Sparrow- Lark,Eremopterix verticalis
Grey-backed Storm Petrel,Garrodia nereis
Grey-headed Albatross,Thalassarche chrysostoma
Grey-headed Bushshrike,Malaconotus blanchoti
Grey-headed Gull,Chroicocephalus cirrocephalus
Grey-headed Kingfisher,Halcyon leucocephala
Grey-headed Parrot,Poicephalus fuscicollis
Grey-rumped Swallow,Pseudhirundo griseopyga
Grey-winged Francolin,Scleroptila afra
Ground Woodpecker,Geocolaptes olivaceus
Groundscraper Thrush,Turdus litsitsirupa
Gull-billed Tern,Gelochelidon nilotica
Gurney's Sugarbird,Promerops gurneyi
Hadeda Ibis,Bostrychia hagedash
Half-collared Kingfisher,Alcedo semitorquata
Hamerkop,Scopus umbretta
Harlequin Quail,Coturnix delegorguei
Hartlaub's Gull,Chroicocephalus hartlaubii
Helmeted Guineafowl,Numida meleagris
Holub's Golden Weaver,Ploceus xanthops
Hooded Vulture,Necrosyrtes monachus
Horus Swift,Apus horus
House Crow,Corvus splendens
House Sparrow,Passer domesticus
Hudsonian Godwit,Limosa haemastica
Icterine Warbler,Hippolais icterina
Indian Peafowl,Pavo cristatus
Indian Yellow-nosed Albatross,Thalassarche carteri
Jackal Buzzard,Buteo rufofuscus
Jacobin Cuckoo,Clamator jacobinus
